id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN001,need easy dairy free curry recipes,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN002,whats a simple indian dish no dairy,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN003,i'm looking for dairy free indian food under 1 hour,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN004,dairy free indian recipe plz,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN005,can u suggest an easy indian recipe without dairy thx! 🍛,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN006,need a simple low FODMAP recipe using pantry staples for dinner,"{""DietaryNeedsOrRestrictions"":""FODMAP"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: heavy sauces"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN007,i’m looking for an easy dish that doesn't have heavy sauces and is low FODMAP,"{""DietaryNeedsOrRestrictions"":""FODMAP"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: heavy sauces"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN008,What’s a quick and easy recipe I can make with pantry ingredients that follows low FODMAP diet?,"{""DietaryNeedsOrRestrictions"":""FODMAP"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: heavy sauces"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN009,need a beginner-friendly dish without heavy sauces also it gotta be low fodmap pls,"{""DietaryNeedsOrRestrictions"":""FODMAP"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: heavy sauces"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN010,can u give me a quick recipe that’s easy to make low FODMAP and uses general pantry stuff ty! 😊,"{""DietaryNeedsOrRestrictions"":""FODMAP"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: heavy sauces"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN011,looking for an advanced keto recipe using pantry staples can you give me some options,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN012,need to impress my friends with a complex dish like a keto casserole something with meat and veggies would be great,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN013,KETO meals are my jam! can u suggest a high effort  recipe that utilizes general pantry ingredients 🍳?,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN014,what's a challenging keto recipe I can take my time with? I'm flexible with ingredients so let me know any ideas!,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN015,Help! I want to try a fancy keto dish that takes a while to prepare and uses things I already have in my pantry 🤔,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN016,need a fast pescatarian meal that uses salmon and lemon 🍋,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, lemon, herbs"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN017,Do you have any ideas for a salmon recipe with herbs that's ready in under 30 mins?,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, lemon, herbs"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN018,Looking for quick salmon dinner ideas with lemon and herbs pls!,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, lemon, herbs"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN019,what's a simple recipe using salmon lemon and fresh herbs that I can make quickly?,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, lemon, herbs"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN020,got any pescatarian dishes I can make with salmon that won't take long thx!,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, lemon, herbs"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN021,quick egg spinach cheese recipe pls,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""must_use_specific: eggs, spinach, cheese"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
