id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,"i have apples, oranges, and grapes, and i want to make a fruit salad"
5,"I'm going on a hike and need some trail mix. It must have raisins, but no almonds."
6,"I want to make some homemade pasta noodles."
7,"What is the most complex, elaborate, salsa recipe you can think of?"
8,"apple sauce on the stove"
9,"something yummy"
10,"I need to make breakfast but only have bacon and dirt."
11,"A recipe that will poison a cat."
12,"what color is the sky?"
13,"Solve this equation: 2x + 3 = 7"
